,SearchTerm,Year,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
638,Valentine ,2001,/work/16683532,Valentine,/work/477016,,by Tom Savage,0.0,-3.65,9.0,1.0
639,Hearts in Atlantis ,2001,/work/4093858,Hearts in Atlantis,/work/13428,,by Stephen King,0.0,-3.66,10.0,8.0
640,Riding in Cars with Boys ,2001,/work/1053952,Riding in Cars with Boys: Confessions of a Bad Girl Who Makes Good,/work/10268,,by Beverly Donofrio,0.0,-3.59,1.0,2.0
641,The Tailor of Panama ,2001,/work/3527510,The Tailor of Panama,/work/3062,1996.0,by John le Carré,0.0,-3.38,23.0,2.0
642,Monkeybone ,2001,/work/16467206,Dark Town: Book One,/work/21942352,,"by Kaja Blackley, Vanessa Chong (Illustrator)",0.0,,1.0,1.0
643,The Pledge ,2001,/work/4415557,The Pledge,/work/227906,1958.0,by Friedrich Dürrenmatt,0.0,-4.01,6.0,2.0
644,Exit Wounds ,2001,/work/1160892,Exit Wounds,/work/704794,,by John Westermann,1.0,-3.0,1.0,1.0
645,Buffalo Soldiers ,2001,/work/1852259,Buffalo Soldiers,/work/70789,,by Robert O’Connor,0.0,-3.73,1.0,1.0
646,Someone Like You... ,2001,/work/11191275,Animal Husbandry,/work/5686,1998.0,by Laura Zigman,0.0,-3.21,1.0,1.0
647,The Shipping News ,2001,/work/10388053,The Shipping News,/work/3049,1993.0,by E. Annie Proulx,0.0,-3.86,19.0,17.0
648,Charlotte Gray ,2001,/work/1862059,Charlotte Gray,/work/101904,1998.0,by Sebastian Faulks,1.0,-3.53,1.0,3.0
649,What's the Worst That Could Happen?,,/work/118222,,,1996.0,by Donald E. Westlake,1.0,-3.96,2.0,1.0
650,The Deep End ,2001,/work/16714781,The Blank Wall,/work/1805207,1947.0,by Elisabeth Sanxay Holding,0.0,-3.83,5.0,1.0
651,Last Orders ,2001,/work/12463658,Last Orders,/work/17994,1996.0,by Graham Swift,0.0,-3.59,5.0,6.0
652,The Body ,2001,/work/9564362,The Body: Being Light in Darkness,/work/114918,,by Charles Colson,0.0,-3.84,1.0,5.0
653,The Caveman's Valentine ,2001,/work/6459152,The Caveman's Valentine,/work/83865,1994.0,by George Dawes Green,0.0,-3.58,2.0,1.0
654,He Died with a Felafel in His Hand,,/work/140751,,,1994.0,by John Birmingham,1.0,-3.59,1.0,1.0
655,The Point Men ,2001,/work/20628106,"History of the Battle of Point Pleasant (West Virginia) Fought Between White Men & Indians at the Mouth of the Great Kanawha River (Now Point Pleasant, ... The Chief Event of the Lord Dunmores War)",/work/1239366,,by Virgil A. Lewis,0.0,,1.0,1.0
656,Pavillion of Women,,/work/71632,,,1946.0,by Pearl S. Buck,0.0,-3.88,1.0,2.0
657,American Psycho ,2000,/work/847865,American Psycho,/work/7135,1991.0,by Bret Easton Ellis,0.0,-3.71,69.0,12.0
658,Requiem for a Dream ,2000,/work/651477,Requiem for a Dream,/work/10479,1978.0,by Hubert Selby Jr.,0.0,-4.11,3.0,1.0
659,Battle Royale ,2000,/work/4939942,Battle Royale,/work/5691177,2003.0,by Koushun Takami,0.0,-4.11,49.0,1.0
660,The Perfect Storm ,2000,/work/2815584,The Perfect Storm: A True Story of Men against the Sea,/work/3825,1997.0,by Sebastian Junger,0.0,-3.9,11.0,11.0
661,The Beach ,2000,/work/5445837,The Beach,/work/5440,1996.0,by Alex Garland,0.0,-3.77,15.0,5.0
662,High Fidelity ,2000,/work/248220,High Fidelity,/work/2110,1995.0,by Nick Hornby,0.0,-3.92,39.0,8.0
663,Chocolat ,2000,/work/10904,Chocolat,/work/5716,1999.0,by Joanne Harris,1.0,-3.81,12.0,6.0
664,102 Dalmatians (2000 Film),,/work/23811293,102 Dalmatians [2000 live action film],/work/1246933,,"by Kevin Lima (Director), Kristen Buckley (Screenwriter), Bob Tzudiker (Screenwriter), Noni White (Screenwriter)",1.0,-3.2,1.0,1.0
665,Battlefield Earth ,2000,/work/9286089,Battlefield Earth: A Saga of the Year 3000,/work/3246096,1982.0,by L. Ron Hubbard,0.0,-3.28,2.0,4.0
666,Where the Heart Is ,2000,/work/12069263,Where the Heart Is,/work/3136,,by Billie Letts,0.0,-3.81,8.0,5.0
667,Wonder Boys ,2000,/work/3952204,Wonder Boys,/work/6108,1995.0,by Michael Chabon,0.0,-3.95,10.0,2.0
668,Shaft ,2000,/work/11281,Shaft [1971 film],/work/2000888,,"by Gordon Parks (Director), John D.F. Black (Writer), Ernst Tidyman (Author)",0.0,-3.0,1.0,1.0
669,Get Carter ,2000,/work/12234577,Get Carter,/work/212540,,by Ted Lewis,1.0,-3.8,4.0,1.0
670,Under Suspicion ,2000,/work/8218035,Arresto Preventivo [1981 film],/work/12988802,,"by Claude Miller (Director), Michel Audiard (Screenwriter)",0.0,-3.5,1.0,1.0
671,Left Behind ,2000,/work/3361250,Left Behind: A Novel of the Earth's Last Days,/work/909,,"by Tim LaHaye, Angela Elwell Hunt, Jerry B. Jenkins",1.0,-3.35,10.0,4.0
672,All the Pretty Horses ,2000,/work/4220314,All the Pretty Horses,/work/1906740,1992.0,by Cormac McCarthy,1.0,-3.95,4.0,10.0
673,The Crimson Rivers ,2000,/work/6378853,The Crimson Rivers,/work/6997434,1997.0,by Jean-Christophe Grange,0.0,-3.8,3.0,2.0
674,Pollock ,2000,/work/612495,"Pollock, The life and work of the artist illustrated with 80 colour plates",/work/2377205,1979.0,by Italo Tomassoni,1.0,-3.25,1.0,1.0
675,The House of Mirth ,2000,/work/8649339,The House of Mirth,/work/11880,1905.0,by Edith Wharton,0.0,-4.03,5.0,10.0
676,My Dog Skip ,2000,/work/5560630,My Dog Skip,/work/156185,1995.0,by Willie Morris,0.0,-3.9,1.0,1.0
677,Waking the Dead ,2000,/work/7928245,Waking the Dead,/work/938714,,by Scott Spencer,0.0,-3.66,1.0,1.0
678,The Weight of Water ,2000,/work/17361682,The Weight of Water,/work/4725,1997.0,by Anita Shreve,0.0,-3.61,11.0,4.0
679,Animal Factory ,2000,/work/11051841,Animal Factory,/work/245731,1977.0,by Edward Bunker,0.0,-3.75,1.0,1.0
680,The Golden Bowl ,2000,/work/6176605,The Golden Bowl,/work/2245,1904.0,by Henry James,0.0,-3.64,4.0,9.0
681,Le Roi Danse,,/work/23930849,,,,by Gérard Corbiau,0.0,,1.0,1.0
682,Happy Times ,2000,/work/1858061,Happy Times (Developmental Reading Series),/work/2660222,,by Guy L. Bond,1.0,,1.0,1.0
683,The Prince of Central Park ,1977,/work/17044248,,,,,,,,
684,Fight Club ,1999,/work/417116,Fight Club,/work/6156848,1996.0,by Chuck Palahniuk,1.0,-4.08,5.0,7.0
685,The Green Mile ,1999,/work/753360,The Green Mile,/work/29698,1996.0,by Stephen King,1.0,-4.25,21.0,5.0
686,The General's Daughter ,1999,/work/4747150,The General's Daughter,/work/81018,1992.0,"by Nelson DeMille, Robert Ludlum",1.0,-3.74,4.0,2.0
687,The Talented Mr. Ripley ,1999,/work/676645,The Talented Mr. Ripley,/work/71377,1955.0,by Patricia Highsmith,1.0,-3.92,5.0,20.0
688,The Haunting ,1999,/work/1968356,The Haunting of Hill House,/work/5466,1959.0,by Shirley Jackson,0.0,-3.93,19.0,16.0
689,The Virgin Suicides ,1999,/work/1127476,The Virgin Suicides,/work/5503,1993.0,by Jeffrey Eugenides,0.0,-3.79,9.0,6.0
690,Cruel Intentions ,1999,/work/991090,Les Liaisons Dangereuses,/work/32388,1782.0,by Pierre Choderlos de Laclos,0.0,-4.11,5.0,9.0
691,The Ninth Gate ,1999,/work/1550953,The Club Dumas,/work/8478,1993.0,by Arturo Pérez-Reverte,0.0,-3.71,11.0,7.0
692,The Bone Collector ,1999,/work/1053814,The Bone Collector,/work/4595,1997.0,by Jeffery Deaver,1.0,-4.0,6.0,3.0
693,The 13th Warrior ,1999,/work/11338,Eaters of the Dead,/work/6852,1976.0,by Michael Crichton,0.0,-3.52,2.0,1.0
694,Tarzan ,1999,/work/13381730,Tarzan of the Apes,/work/4912,1912.0,by Edgar Rice Burroughs,1.0,-3.74,15.0,9.0
695,The Iron Giant ,1999,/work/2280289,The Iron Man,/work/61256,1968.0,by Ted Hughes,1.0,-3.79,1.0,5.0
696,Stuart Little ,1999,/work/3402719,Stuart Little,/work/6295,1945.0,by E. B. White,0.0,-3.81,6.0,4.0
697,The Cider House Rules ,1999,/work/4041090,The Cider House Rules,/work/7863,1985.0,by John Irving,0.0,-4.07,11.0,5.0
698,Stir of Echoes ,2000,/work/1568790,,,,,,,,
699,October Sky ,1999,/work/435486,Rocket Boys,/work/38805,1998.0,"by Homer H. Hickam, Jr.",1.0,-4.13,12.0,5.0
700,Election ,1999,/work/606801,Election,/work/5755,1998.0,by Tom Perrotta,0.0,-3.75,1.0,2.0
701,Payback ,1999,/work/2815533,The Hunter,/work/221816,1973.0,by Richard Stark,1.0,-3.88,1.0,1.0
702,Bicentennial Man ,1999,/work/126664,Bicentennial Man,/work/4105360,,by Isaac Asimov,0.0,-3.89,1.0,1.0
703,For Love of the Game ,1999,/work/2369406,For Love of the Game,/work/4272,1991.0,by Michael Shaara,0.0,-3.46,1.0,1.0
704,Bringing Out the Dead ,1999,/work/611578,Bringing Out the Dead: A Novel,/work/7438,1998.0,by Joe Connelly,0.0,-3.75,16.0,1.0
705,The Thirteenth Floor ,1999,/work/2788903,Simulacron-3,/work/253292,1964.0,by Daniel F. Galouye,0.0,-3.82,1.0,1.0
706,Drive Me Crazy (1999 Film),,/work/23696702,Drive Me Crazy [1999 film],/work/7960525,1999.0,"by John Schultz (Director), Rob Thomas (Screenwriter)",0.0,-4.0,1.0,1.0
707,The Hurricane ,1999,/work/2375068,The Hurricane,/work/2602545,1936.0,"by Charles Bernard Nordhoff, James Norman Hall (Author)",0.0,-3.83,4.0,1.0
708,Angela's Ashes ,1999,/work/6546978,Angela's Ashes,/work/5115,1996.0,by Frank McCourt,1.0,-4.0,3.0,19.0
709,Message in a Bottle ,1999,/work/8810423,Message in a Bottle,/work/4413,1998.0,by Nicholas Sparks,0.0,-3.57,4.0,1.0
710,True Crime ,1999,/work/15811881,True Crime,/work/453708,1995.0,by Andrew Klavan,0.0,-3.63,9.0,3.0
711,Eye of the Beholder ,1999,/work/14275902,Eye of the Beholder,/work/39695,,by Jayne Ann Krentz,0.0,-3.47,2.0,1.0
712,The End of the Affair ,1999,/work/2822203,The End of the Affair,/work/7200,1951.0,by Graham Greene,0.0,-3.96,5.0,10.0
713,In Dreams ,1999,/work/643604,In Dreams,/work/48710,,"by Paul J. McAuley (Editor), Kim Newman (Editor)",0.0,-3.33,1.0,1.0
714,Anywhere But Here ,1999,/work/2015358,Anywhere but Here,/work/42338,1986.0,by Mona Simpson,0.0,-3.49,6.0,6.0
715,Instinct ,1999,/work/609295,The Language Instinct: How the Mind Creates Language,/work/3585,1994.0,by Steven Pinker,0.0,-3.98,8.0,4.0
716,The Deep End of the Ocean ,1999,/work/3672920,The Deep End of the Ocean,/work/42505,,by Jacquelyn Mitchard,1.0,-3.48,8.0,3.0
717,Crazy in Alabama ,1999,/work/4755784,Crazy in Alabama,/work/36276,1993.0,by Mark Childress,0.0,-3.85,1.0,2.0
718,Outside Providence,,/work/80905,,,,by Peter Farrelly,0.0,-2.88,1.0,1.0
719,Jakob the Liar ,1999,/work/8187500,Jacob the Liar,/work/301236,,by Jurek Becker,0.0,-3.98,1.0,5.0
720,The Ring Volume 2 (Ring (Graphic Novels)),,/work/762139,,,,by Hiroshi Takashi,1.0,-3.67,1.0,1.0
721,Snow Falling on Cedars ,1999,/work/10245842,Snow Falling on Cedars,/work/5903,1995.0,by David Guterson,0.0,-3.75,16.0,11.0
722,An Ideal Husband ,1999,/work/1398597,An Ideal Husband,/work/1617471,1895.0,by Oscar Wilde,0.0,-3.94,11.0,1.0
723,Breakfast of Champions,,/work/4335846,,,1973.0,by Kurt Vonnegut,0.0,-3.99,39.0,7.0
724,The Love Letter ,1999,/work/11423,The Love Letter,/work/72485,1995.0,by Cathleen Schine,0.0,-3.3,6.0,1.0
725,The King and I ,1999,/work/26986295,The King and I [1956 film],/work/545272,,"by Walter Lang (Director), Oscar Hammerstein II (Play), Margaret Landon (Original novel), Ernest Lehman (Screenwriter), Richard Rodgers (Play) — 1 more, Leon Shamroy (Cinematographer)",0.0,-4.41,2.0,1.0
726,Histoires d'hiver,,/work/11753230,,,,by Zviane,0.0,,1.0,1.0
727,Fear and Loathing in Las Vegas ,1998,/work/6017359,Fear and Loathing in Las Vegas,/work/3366,1971.0,by Hunter S. Thompson,0.0,-4.06,4.0,5.0
728,The Thin Red Line ,1998,/work/4092762,The Thin Red Line,/work/8361,1962.0,by James Jones,1.0,-3.81,1.0,4.0
729,Modern Vampires ,1998,/work/3085998,The Penguin Book of Vampire Stories,/work/2894670,1987.0,by Alan Ryan,0.0,-3.97,1.0,1.0
730,Ringu ,1998,/work/10874694,Ring,/work/38023,1991.0,by Koji Suzuki,1.0,-3.65,5.0,4.0
731,What Dreams May Come ,1998,/work/2075506,What Dreams May Come,/work/57532,1978.0,by Richard Matheson,0.0,-3.81,5.0,1.0
732,Psycho ,1998,/work/11064706,Psycho [1960 film],/work/758836,,"by Alfred Hitchcock (Director), John L. Russell (Cinematographer), Joseph Stefano (Screenwriter)",1.0,-4.34,4.0,3.0
733,The Man in the Iron Mask ,1998,/work/4219307,The Man in the Iron Mask,/work/74637,1847.0,by Alexandre Dumas,1.0,-3.81,10.0,1.0
734,Out of Sight ,1998,/work/1224207,Out of Sight,/work/37361,1996.0,by Elmore Leonard,1.0,-3.66,3.0,4.0
735,Beloved ,1998,/work/12551789,Beloved,/work/2182,1987.0,by Toni Morrison,0.0,-3.9,11.0,55.0
736,Great Expectations: Original 1998 Motion Picture Soundtrack,,/work/19188684,Great Expectations,/work/7554,1861.0,by Charles Dickens,0.0,-3.89,10.0,26.0
737,A Simple Plan ,1998,/work/1138878,A Simple Plan,/work/150141,,by Scott Smith,0.0,-3.85,3.0,4.0
738,The Legend of 1900 ,1998,/work/9467002,Novecento: Un Monologo,/work/588453,1994.0,by Alessandro Baricco,0.0,-3.91,1.0,3.0
739,Sphere ,1998,/work/3482648,Sphere,/work/17543,1987.0,by Michael Crichton,0.0,-3.56,7.0,3.0
740,The Object of My Affection ,1998,/work/3002738,The Object of My Affection,/work/71718,1987.0,by Stephen McCauley,0.0,-3.71,1.0,1.0
741,Gods and Monsters ,1998,/work/1300118,Father of Frankenstein,/work/420835,,by Christopher Bram,0.0,-3.94,8.0,3.0
742,The Horse Whisperer ,1998,/work/2344529,The Horse Whisperer,/work/21631,1995.0,by Nicholas Evans,0.0,-3.56,4.0,5.0
743,The Story of Doctor Dolittle,,/work/6323,,,1920.0,by Hugh Lofting,1.0,-3.69,26.0,2.0
744,Quest for Camelot ,1998,/work/545089,The King's Damosel,/work/293362,,by Vera Chapman,1.0,-3.83,1.0,1.0
745,How Stella Got Her Groove Back,,/work/45365,,,1996.0,by Terry McMillan,0.0,-3.24,2.0,2.0
746,Simon Birch ,1998,/work/1247024,A Prayer for Owen Meany,/work/7263,1989.0,by John Irving,0.0,-4.25,14.0,18.0
747,Primary Colors ,1998,/work/7889787,Primary Colors,/work/35497,1996.0,by Joe Klein,0.0,-3.46,18.0,4.0
748,A Civil Action ,1998,/work/2812400,A Civil Action,/work/35381,1995.0,by Jonathan Harr,0.0,-3.9,7.0,7.0
749,Hideous Kinky ,1998,/work/852580,Hideous Kinky,/work/5308,1992.0,by Esther Freud,0.0,-3.46,2.0,2.0
750,One True Thing ,1998,/work/3140018,One True Thing,/work/5789484,1994.0,by Anna Quindlen,0.0,-3.87,1.0,1.0
751,Lucky and Zorba,,,,,,,,,,
752,I Know What You Did Last Summer ,1997,/work/9867938,I Know What You Did Last Summer,/work/38360,1973.0,by Lois Duncan,1.0,-3.33,10.0,1.0
753,Lolita ,1997,/work/6381235,Lolita,/work/913,1955.0,by Vladimir Nabokov,0.0,-4.09,7.0,43.0
754,L.A. Confidential ,1997,/work/624344,L. A. Confidential,/work/24601,1990.0,by James Ellroy,1.0,-4.1,9.0,7.0
755,The Devil's Advocate ,1997,/work/318162,The Devil's Advocate,/work/74493,1990.0,by Andrew Neiderman,0.0,-2.98,1.0,1.0
756,Starship Troopers ,1997,/work/11319,Starship Troopers,/work/7802,1959.0,by Robert A. Heinlein,0.0,-3.85,3.0,13.0
757,Jackie Brown ,1997,/work/8403888,Rum Punch,/work/83266,1992.0,by Elmore Leonard,0.0,-3.67,4.0,1.0
758,Contact ,1997,/work/4041184,Contact,/work/3252172,1985.0,by Carl Sagan,0.0,-3.99,1.0,6.0
759,The Lost World: Jurassic Park ,1997,/work/1000542,The Lost World,/work/12409,1995.0,by Michael Crichton,1.0,-3.5,14.0,4.0
760,The Rainmaker ,1997,/work/1926517,The Rainmaker,/work/861142,1995.0,by John Grisham,0.0,-3.65,8.0,3.0
761,Kiss the Girls ,1997,/work/4046632,Kiss the Girls,/work/781783,1994.0,by James Patterson,1.0,-3.74,14.0,3.0
762,The Relic ,1997,/work/12151594,Relic,/work/4684,1995.0,"by Douglas Preston, Lincoln Child",1.0,-3.87,34.0,4.0
763,The Postman ,1997,/work/2075595,The Postman,/work/19121,,by David Brin,0.0,-3.73,1.0,7.0
764,Private Parts: The Album (1997 Film),,/work/19208518,Private Parts,/work/2512722,1993.0,by Howard Stern,0.0,-3.54,1.0,4.0
765,The Ice Storm ,1997,/work/645673,The Ice Storm,/work/2868747,1994.0,by Rick Moody,0.0,-3.74,8.0,1.0
766,Absolute Power ,1997,/work/2915929,Absolute Power,/work/19996,1996.0,by David Baldacci,0.0,-3.76,19.0,4.0
767,The Borrowers ,1997,/work/6039767,The Borrowers,/work/34289,1952.0,by Mary Norton,1.0,-3.89,3.0,7.0
768,Affliction,,/work/53693,,,1989.0,by Russell Banks,0.0,-3.94,1.0,3.0
769,The Sweet Hereafter ,1997,/work/2406589,The Sweet Hereafter,/work/73707,1991.0,by Russell Banks,0.0,-3.99,6.0,5.0
770,Anna Karenina ,1997,/work/2527189,Anna Karenina,/work/2340,1877.0,"by Leo Tolstoy, George Gibian (Editor)",0.0,-4.15,39.0,32.0
771,Smilla's Sense of Snow ,1997,/work/10184727,Smilla's Sense of Snow,/work/2856,1992.0,by Peter Høeg,0.0,-3.74,1.0,13.0
772,A Thousand Acres ,1997,/work/611347,A Thousand Acres,/work/2310,,by Jane Smiley,0.0,-3.71,8.0,13.0
773,Oscar and Lucinda ,1997,/work/4445968,Oscar and Lucinda,/work/27097,1988.0,by Peter Carey,0.0,-3.77,55.0,13.0
774,Critical Care ,1997,/work/16966687,Critical Care,/work/1085634,,,0.0,,1.0,1.0
775,Character ,1997,/work/10160931,Character,/work/113265,,by F. Bordewijk,0.0,-3.92,1.0,1.0
776,A Time to Kill ,1996,/work/1131925,A Time to Kill,/work/861081,1989.0,by John Grisham,1.0,-3.83,11.0,4.0
777,Romeo + Juliet ,1996,/work/644095,Romeo and Juliet,/work/2225,1597.0,by William Shakespeare,0.0,-3.72,17.0,11.0
778,The Island of Dr. Moreau ,1996,/work/1146288,The Island of Dr. Moreau,/work/3968,1896.0,by H. G. Wells,0.0,-3.63,7.0,9.0
779,Matilda ,1996,/work/2507543,Matilda,/work/1495,1988.0,by Roald Dahl,0.0,-4.26,9.0,25.0
780,The First Wives Club ,1996,/work/2703217,The First Wives Club,/work/10289,1992.0,by Olivia Goldsmith,0.0,-3.48,12.0,1.0
781,Crash ,1996,/work/11733490,Crash,/work/7140,1973.0,by J. G. Ballard,0.0,-3.47,6.0,7.0
782,Primal Fear ,1996,/work/2886645,Primal Fear,/work/179644,1993.0,by William Diehl,1.0,-3.97,8.0,1.0
783,101 Dalmatians ,1996,/work/8027237,The Hundred and One Dalmatians,/work/122301,1956.0,by Dodie Smith,1.0,-4.0,5.0,3.0
784,James and the Giant Peach ,1996,/work/2755607,James and the Giant Peach,/work/5138,1961.0,by Roald Dahl,0.0,-3.96,11.0,8.0
785,The English Patient ,1996,/work/4041507,The English Patient,/work/2941,1992.0,by Michael Ondaatje,0.0,-3.9,9.0,16.0
786,The Hunchback of Notre Dame ,1996,/work/710396,The Hunchback of Notre Dame,/work/2971,1831.0,by Victor Hugo,0.0,-3.92,13.0,13.0
787,Striptease ,1996,/work/7913050,Strip Tease,/work/32221,1993.0,by Carl Hiaasen,0.0,-3.64,5.0,1.0
788,Emma ,1996,/work/831070,Emma,/work/364,1816.0,by Jane Austen,0.0,-4.07,69.0,19.0
789,Thinner ,1996,/work/16919574,Thinner,/work/35834,1984.0,by Stephen King,0.0,-3.42,10.0,1.0
790,White Squall ,1996,/work/8832225,The Last Voyage of the Albatross,/work/3031254,,"by Charles F Gieg, Felix Sutton",0.0,-3.0,1.0,1.0
791,Bad Moon ,1996,/work/23135138,Bad Moon Rising,/work/7078923,,by Sherrilyn Kenyon,1.0,-3.88,39.0,1.0
792,The Fan ,1996,/work/7654754,The Fan,/work/539600,,by Peter Abrahams,0.0,-3.36,4.0,1.0
793,Jude ,1996,/work/8606389,Jude the Obscure,/work/4365,1895.0,by Thomas Hardy,0.0,-3.87,11.0,14.0
794,Eye for an Eye ,1996,/work/18314064,Eye for an Eye,/work/4517484,,by T. Frank Muir,1.0,-3.16,1.0,1.0
795,Harriet the Spy ,1996,/work/9637224,Harriet the Spy,/work/6205,1964.0,"by Louise Fitzhugh, Louise Fitzhugh",1.0,-4.07,11.0,9.0
796,The Juror ,1996,/work/16571753,The Juror,/work/179763,1995.0,by George Dawes Green,0.0,-3.56,11.0,1.0
797,The Adventures of Pinocchio ,1996,/work/21408940,Pinocchio,/work/33943,1883.0,by Carlo Collodi,0.0,-3.72,5.0,12.0
798,Mary Reilly ,1996,/work/809282,Mary Reilly,/work/35816,1990.0,by Valerie Martin,0.0,-3.64,2.0,4.0
799,Extreme Measures ,1996,/work/17797973,Extreme Measures,/work/5755348,,by Vince Flynn,1.0,-4.02,2.0,1.0
800,The Chamber ,1996,/work/664306,The Chamber,/work/861059,1994.0,by John Grisham,0.0,-3.42,2.0,1.0
801,Heaven's Prisoners,,/work/42405,,,,by James Lee Burke,1.0,-3.84,10.0,1.0
802,Mrs. Winterbourne ,2002,/work/1220487,,,,,,,,
803,Before and After ,1996,/work/4098614,Before and After,/work/150146,1992.0,by Rosellen Brown,0.0,-3.48,3.0,2.0
804,Mother Night {1996 film},,/work/16422997,Mother Night,/work/816500,1961.0,by Kurt Vonnegut,0.0,-4.1,26.0,3.0
805,Solo ,1996,/work/13629364,Solo,/work/56091,,by Jack Higgins,0.0,-3.34,1.0,1.0
806,The Secret Agent ,1996,/work/18431372,The Secret Agent,/work/7220,1907.0,by Joseph Conrad,0.0,-3.63,10.0,10.0
807,The Whole Wide World ,1996,/work/9932718,"One who walked alone : Robert E. Howard, the final years",/work/956583,,by Novalyne Price Ellis,0.0,-4.56,2.0,1.0
808,Clueless ,1995,/work/606759,Emma,/work/364,1816.0,by Jane Austen,0.0,-4.07,69.0,19.0
809,Jumanji ,1995,/work/699412,Jumanji,/work/45488,1981.0,by Chris Van Allsburg,1.0,-4.18,13.0,15.0
810,Casino ,1995,/work/722374,Casino: Love and Honor in Las Vegas,/work/66235,,by Nicholas Pileggi,0.0,-3.84,3.0,1.0
811,Sense and Sensibility ,1995,/work/532599,Sense and Sensibility,/work/2228,1811.0,by Jane Austen,0.0,-4.11,18.0,14.0
812,The Basketball Diaries ,1995,/work/14638139,The Basketball Diaries,/work/27145,,by Jim Carroll,0.0,-3.86,1.0,1.0
813,The Bridges of Madison County ,1995,/work/2345263,The Bridges of Madison County,/work/19030,1992.0,"by Robert James Waller, Robert James Waller",1.0,-3.35,8.0,4.0
814,To Die For ,1995,/work/1454863,To Die For,/work/91550,1992.0,by Joyce Maynard,0.0,-3.44,1.0,1.0
815,Village of the Damned ,1995,/work/10343209,The Midwich Cuckoos,/work/19812,1957.0,by John Wyndham,0.0,-3.79,5.0,6.0
816,Get Shorty ,1995,/work/9523720,Get Shorty,/work/23070,1990.0,by Elmore Leonard,1.0,-3.73,3.0,5.0
817,Babe ,1995,/work/712943,Babe: The Gallant Pig,/work/174785,1983.0,by Dick King-Smith,0.0,-3.94,1.0,11.0
818,A Little Princess ,1995,/work/3923203,A Little Princess,/work/1474,1905.0,by Frances Hodgson Burnett,0.0,-4.22,12.0,7.0
819,The Baby Sitter's Club ,1995,/work/16792518,The Truth About Stacey,/work/61171,,by Ann M. Martin,1.0,-3.62,6.0,1.0
820,Congo ,1995,/work/991463,Congo,/work/11616,1980.0,by Michael Crichton,0.0,-3.27,3.0,3.0
821,Rob Roy ,1995,/work/682586,Rob Roy,/work/35211,1817.0,by Sir Walter Scott,1.0,-3.48,26.0,5.0
822,Underground,,/work/58240,,,,by Haruki Murakami,0.0,-3.83,1.0,1.0
823,Devil in a Blue Dress ,1995,/work/10239466,Devil in a Blue Dress,/work/43273,1990.0,by Walter Mosley,1.0,-3.81,3.0,8.0
824,The Indian in the Cupboard ,1995,/work/4140323,The Indian in the Cupboard,/work/6315,1980.0,by Lynne Reid Banks,1.0,-3.73,4.0,12.0
825,Fair Game,,/work/10440971,,,,by Patricia Briggs,1.0,-4.2,11.0,1.0
826,The Scarlet Letter ,1995,/work/22018924,The Scarlet Letter,/work/2264,1850.0,"by Nathaniel Hawthorne, Karin Jacobson (Editor)",0.0,-3.38,7.0,30.0
827,Waiting to Exhale ,1995,/work/11529363,Waiting to Exhale,/work/38007,1992.0,by Terry McMillan,1.0,-3.52,11.0,1.0
828,How to Make an American Quilt ,1995,/work/15638978,How to Make an American Quilt,/work/17950,1991.0,by Whitney Otto,0.0,-3.4,1.0,2.0
829,Clockers ,1995,/work/11713296,Clockers,/work/7459,1992.0,by Richard Price,0.0,-4.05,2.0,2.0
830,Wild Bill ,1995,/work/3214047,Deadwood,/work/283417,1968.0,by Pete Dexter,0.0,-3.95,7.0,1.0
831,Angels and Insects ,1995,/work/2849749,Angels & Insects,/work/2335,1992.0,by A. S. Byatt,0.0,-3.56,4.0,1.0
832,Restoration ,1995,/work/2213909,Restoration,/work/122681,1989.0,by Rose Tremain,1.0,-3.79,9.0,3.0
833,Dr Jekyll and Mr Hyde: York Notes for GCSE (9-1),,/work/23445193,,,,by Anne Rooney,0.0,,1.0,1.0
834,Hideaway ,1995,/work/9718031,Hideaway,/work/4315,,by Dean Koontz,0.0,-3.51,4.0,2.0
835,An Awfully Big Adventure ,1995,/work/561698,An Awfully Big Adventure,/work/93288,1989.0,by Beryl Bainbridge,0.0,-3.66,3.0,1.0
836,Fluke ,1995,/work/8083505,"Fluke, or, I Know Why the Winged Whale Sings",/work/1187603,2002.0,by Christopher Moore,0.0,-3.65,6.0,1.0
837,Losing Isaiah ,1995,/work/20557740,Losing Isaiah,/work/691052,,by Seth J. Margolis,0.0,-3.64,3.0,1.0
838,The Underneath,,/work/4954202,,,2008.0,by Kathi Appelt,0.0,-3.96,4.0,10.0
839,The Grass Harp ,1995,/work/15243172,The Grass Harp: Including A Tree of Night and Other Stories,/work/3580,1951.0,by Truman Capote,0.0,-4.09,6.0,2.0
840,The Perez Family,,/work/402554,,,1990.0,by Christine Bell,0.0,-3.55,1.0,1.0
841,Two Much ,1995,/work/9856843,Two Much,/work/553751,,by Donald E. Westlake,0.0,-3.27,1.0,1.0
842,Forrest Gump ,1994,/work/4039725,Forrest Gump,/work/38337,1986.0,by Winston Groom,0.0,-3.43,20.0,2.0
843,Interview with the Vampire: The Vampire Chronicles ,1994,/work/1000488,Interview with the Vampire,/work/3437,1976.0,by Anne Rice,1.0,-3.83,6.0,14.0
844,Legends of the Fall ,1994,/work/532538,Legends of the Fall,/work/155485,1979.0,by Jim Harrison,0.0,-3.89,3.0,1.0
