SearchTerm,Year,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
Treasure Planet [2002 animated film],Treasure Planet [2002 animated film],/work/12462543,Treasure Island [abridged - Classic Starts],/work/7679887,,"by Chris Tait (Adaptor), Lucy Corvino (Illustrator), Robert Louis Stevenson",1,-3.82,1,1
The Sum of All Fears [2002 film],The Sum of All Fears [2002 film],/work/2210561,The Sum of All Fears,/work/24490,1991,by Tom Clancy,1,-3.74,1,1
The Time Machine [2002 film],The Time Machine [2002 film],/work/11968422,The Time Machine,/work/6954,1895,"by H. G. Wells, H. G. Wells (Original Author)",0,-3.73,10,18
About a Boy [2002 film],About a Boy [2002 film],/work/4040269,About a Boy,/work/2314,1998,by Nick Hornby,0,-3.74,5,2
The Hours [2002 film],The Hours [2002 film],/work/645341,The Hours,/work/5163,1998,by Michael Cunningham,0,-3.92,37,17
Killing Me Softly,Killing Me Softly,/work/171020,,,1999,by Nicci French,0,-3.4,8,1
The Rules of Attraction [2002 film],The Rules of Attraction [2002 film],/work/13769312,The Rules of Attraction,/work/1698158,1987,by Bret Easton Ellis,0,-3.6,39,1
Solaris [2002 film],Solaris [2002 film],/work/2944198,Solaris,/work/18415,1961,by Stanisław Lem,0,-3.87,8,13
High Crimes [2002 film],High Crimes [2002 film],/work/2624163,High Crimes,/work/204458,1998,by Joseph Finder,0,-3.69,3,1
Tuck Everlasting [2002 film],Tuck Everlasting [2002 film],/work/1980573,Tuck Everlasting,/work/5521,1975,by Natalie Babbitt,0,-3.93,9,15
About Schmidt [2002 film],About Schmidt [2002 film],/work/2652582,About Schmidt,/work/139769,1996,by Louis Begley,1,-3.07,1,2
Spider [2002 film],Spider [2002 film],/work/1360926,Spider,/work/128178,1990,by Patrick McGrath,0,-3.8,1,1
White Oleander [2002 film],White Oleander [2002 film],/work/7790431,White Oleander,/work/7358,1999,by Janet Fitch,0,-3.88,15,3
Divine Secrets of the Ya-Ya Sisterhood [2002 film],Divine Secrets of the Ya-Ya Sisterhood [2002 film],/work/9914006,Divine Secrets of the Ya-Ya Sisterhood,/work/2478,,by Rebecca Wells,1,-3.58,9,4
Trapped [2002 film],Trapped [2002 film],/work/8876142,Trapped,/work/474533,1989,by Dean Koontz,0,-3.52,1,1
Blood Work [2002 film],Blood Work [2002 film],/work/611537,Blood Work,/work/47942,1997,by Michael Connelly,1,-3.89,2,8
Nicholas Nickleby [2002 film],Nicholas Nickleby [2002 film],/work/1127355,Nicholas Nickleby,/work/2258,1839,by Charles Dickens,0,-3.93,17,8
The Four Feathers [2002 film],The Four Feathers [2002 film],/work/1053840,The Four Feathers,/work/74173,1902,by A. E. W. Mason,0,-3.71,10,1
Big Trouble [2002 film],Big Trouble [2002 film],/work/4011120,Big Trouble,/work/870,,by Dave Barry,0,-3.61,8,3
The Quiet American [2002 film],The Quiet American [2002 film],/work/6490373,The Quiet American,/work/10158,1955,by Graham Greene,0,-3.96,5,4
The Twilight Samurai,The Twilight Samurai,/work/6709096,,,,by Yoji Yamada,0,-3.63,1,1
Hart's War [2002 film],Hart's War [2002 film],/work/9957707,Hart's War,/work/65216,1999,by John Katzenbach,0,-3.91,1,1
Magic Eye II: Now You See It,Magic Eye II: Now You See It,/work/33692,,,1994,by Magic Eye Inc.,1,-3.45,1,1
Ripley's Game [2002 film],Ripley's Game [2002 film],/work/6322829,Ripley's Game,/work/126315,1974,by Patricia Highsmith,1,-3.77,5,1
Possession [2002 film],Possession [2002 film],/work/1978869,Possession: A Romance,/work/2222,1990,by A.S. Byatt,0,-4.02,11,23
The Crime of Padre Amaro [2003 film],The Crime of Padre Amaro [2003 film],/work/542766,The Crime of Father Amaro,/work/676400,1875,by José Maria Eça de Queirós,0,-4.02,6,4
When The Last Sword Is Drawn (DVD),When The Last Sword Is Drawn (DVD),/work/6685753,,,,by Yojiro Takita,0,-3.83,1,1
Close Your Eyes [2002 film],Close Your Eyes [2002 film],/work/10017436,Close Your Eyes,/work/11994162,2012,"by Iris Johansen, Roy Johansen",1,-3.76,2,1
The Heart of Me [2002 film],The Heart of Me [2002 film],/work/6550819,The Echoing Grove,/work/104498,1953,by Rosamond Lehmann,0,-3.54,3,3
Joshua: One Man Holds the Answer [2002 film],Joshua: One Man Holds the Answer [2002 film],/work/11549201,Joshua: A Parable for Today,/work/36386,1983,by Joseph F. Girzone,1,-3.63,1,1
The First $20 Million is Always the Hardest [2002 film],The First $20 Million is Always the Hardest [2002 film],/work/25090352,The First $20 Million is Always the Hardest,/work/5983,1997,by Po Bronson,0,-3.62,1,1
Dracula - Pages from a Virgin's Diary,Dracula - Pages from a Virgin's Diary,/work/6504690,,,,by Guy Maddin,0,-3.33,1,1
Charly [1968 film],Charly [1968 film],/work/12034712,Flowers for Algernon,/work/2516333,1966,by Daniel Keyes,0,-4.12,15,13
Seraphin - Heart of Stone,Seraphin - Heart of Stone,/work/12286335,,,,by Charles Binamé (Director),0,,1,1
Crazy as Hell - The Craziness Women Do and Guys Love.,Crazy as Hell - The Craziness Women Do and Guys Love.,/work/24586136,,,,"by Emilio"" ""Boechat",0,,1,1
P.S. your cat is dead!: a novel,P.S. your cat is dead!: a novel,/work/30428,,,1972,by James Kirkwood,0,-3.87,1,1
Tycoon - A New Russian,Tycoon - A New Russian,/work/15887737,,,,by Pavel Lungin,0,-2,1,1
Asesino en serio (dvd),Asesino en serio (dvd),/work/3864384,,,,by Javier Valdés,0,,1,1
Antikiller 2,Antikiller 2,/work/25224780,,,,by Koreckij D.A. Корецкий Д. А.,0,,1,1
Harry Potter and the Sorcerer's Stone [2001 film],Harry Potter and the Sorcerer's Stone [2001 film],/work/5489524,Harry Potter and the Sorcerer's Stone (Book 1),/work/5403381,,by J. K. Rowling,1,-4.29,31,70
The Lord of the Rings: The Fellowship of the Ring [2001 film],The Lord of the Rings: The Fellowship of the Ring [2001 film],/work/1354927,The Fellowship of the Ring,/work/3203347,1954,by J. R. R. Tolkien,1,-4.37,143,7
Planet of the Apes [2001 film],Planet of the Apes [2001 film],/work/1036746,Planet of the Apes,/work/60130,1963,by Pierre Boulle,1,-3.78,9,1
Legally Blonde [2001 film],Legally Blonde [2001 film],/work/107664,Legally Blonde,/work/122409,,by Amanda Brown,0,-3.16,1,1
Hannibal [2001 film],Hannibal [2001 film],/work/2273354,Hannibal,/work/5797,1999,by Thomas Harris,1,-3.37,15,4
Black Hawk Down [2001 film],Black Hawk Down [2001 film],/work/417094,Black Hawk Down: A Story of Modern War,/work/8345,1999,by Mark Bowden,0,-4.19,5,7
The Princess Diaries [2001 film],The Princess Diaries [2001 film],/work/1247086,The Princess Diaries,/work/12415,,by Meg Cabot,1,-3.67,14,11
Bridget Jones's Diary [2001 film],Bridget Jones's Diary [2001 film],/work/681949,Bridget Jones's Diary,/work/761509,1996,by Helen Fielding,1,-3.61,3,8
Original Sin [2001 film],Original Sin [2001 film],/work/532569,Waltz into Darkness,/work/121287,1947,by Cornell Woolrich,0,-3.54,1,1
Along Came a Spider [2001 film],Along Came a Spider [2001 film],/work/1053789,Along Came a Spider,/work/3350327,,by James Patterson,1,-3.71,15,4
Valentine [2001 film],Valentine [2001 film],/work/16683532,Valentine,/work/477016,,by Tom Savage,0,-3.65,9,1
Hearts in Atlantis [2001 film],Hearts in Atlantis [2001 film],/work/4093858,Hearts in Atlantis,/work/13428,,by Stephen King,0,-3.66,10,8
Riding in Cars with Boys [2001 film],Riding in Cars with Boys [2001 film],/work/1053952,Riding in Cars with Boys: Confessions of a Bad Girl Who Makes Good,/work/10268,,by Beverly Donofrio,0,-3.59,1,2
The Tailor of Panama [2001 film],The Tailor of Panama [2001 film],/work/3527510,The Tailor of Panama,/work/3062,1996,by John le Carré,0,-3.38,23,2
Monkeybone [2001 film],Monkeybone [2001 film],/work/16467206,Dark Town: Book One,/work/21942352,,"by Kaja Blackley, Vanessa Chong (Illustrator)",0,,1,1
The Pledge [2001 film],The Pledge [2001 film],/work/4415557,The Pledge,/work/227906,1958,by Friedrich Dürrenmatt,0,-4.01,6,2
Exit Wounds [2001 film],Exit Wounds [2001 film],/work/1160892,Exit Wounds,/work/704794,,by John Westermann,1,-3,1,1
Buffalo Soldiers [2001 film],Buffalo Soldiers [2001 film],/work/1852259,Buffalo Soldiers,/work/70789,,by Robert O’Connor,0,-3.73,1,1
Someone Like You... [2001 film],Someone Like You... [2001 film],/work/11191275,Animal Husbandry,/work/5686,1998,by Laura Zigman,0,-3.21,1,1
The Shipping News [2001 film],The Shipping News [2001 film],/work/10388053,The Shipping News,/work/3049,1993,by E. Annie Proulx,0,-3.86,19,17
Charlotte Gray [2001 film],Charlotte Gray [2001 film],/work/1862059,Charlotte Gray,/work/101904,1998,by Sebastian Faulks,1,-3.53,1,3
What's the Worst That Could Happen?,What's the Worst That Could Happen?,/work/118222,,,1996,by Donald E. Westlake,1,-3.96,2,1
The Deep End [2001 film],The Deep End [2001 film],/work/16714781,The Blank Wall,/work/1805207,1947,by Elisabeth Sanxay Holding,0,-3.83,5,1
Last Orders [2001 film],Last Orders [2001 film],/work/12463658,Last Orders,/work/17994,1996,by Graham Swift,0,-3.59,5,6
The Body [2001 Film],The Body [2001 Film],/work/9564362,The Body: Being Light in Darkness,/work/114918,,by Charles Colson,0,-3.84,1,5
The Caveman's Valentine [2001 film],The Caveman's Valentine [2001 film],/work/6459152,The Caveman's Valentine,/work/83865,1994,by George Dawes Green,0,-3.58,2,1
He Died with a Felafel in His Hand,He Died with a Felafel in His Hand,/work/140751,,,1994,by John Birmingham,1,-3.59,1,1
The Point Men [2001 film],The Point Men [2001 film],/work/20628106,"History of the Battle of Point Pleasant (West Virginia) Fought Between White Men & Indians at the Mouth of the Great Kanawha River (Now Point Pleasant, ... The Chief Event of the Lord Dunmores War)",/work/1239366,,by Virgil A. Lewis,0,,1,1
Pavillion of Women,Pavillion of Women,/work/71632,,,1946,by Pearl S. Buck,0,-3.88,1,2
American Psycho [2000 film],American Psycho [2000 film],/work/847865,American Psycho,/work/7135,1991,by Bret Easton Ellis,0,-3.71,69,12
Requiem for a Dream [2000 film],Requiem for a Dream [2000 film],/work/651477,Requiem for a Dream,/work/10479,1978,by Hubert Selby Jr.,0,-4.11,3,1
Battle Royale [2000 film],Battle Royale [2000 film],/work/4939942,Battle Royale,/work/5691177,2003,by Koushun Takami,0,-4.11,49,1
The Perfect Storm [2000 film],The Perfect Storm [2000 film],/work/2815584,The Perfect Storm: A True Story of Men against the Sea,/work/3825,1997,by Sebastian Junger,0,-3.9,11,11
The Beach [2000 film],The Beach [2000 film],/work/5445837,The Beach,/work/5440,1996,by Alex Garland,0,-3.77,15,5
High Fidelity [2000 film],High Fidelity [2000 film],/work/248220,High Fidelity,/work/2110,1995,by Nick Hornby,0,-3.92,39,8
Chocolat [2000 film],Chocolat [2000 film],/work/10904,Chocolat,/work/5716,1999,by Joanne Harris,1,-3.81,12,6
102 Dalmatians (2000 Film),102 Dalmatians (2000 Film),/work/23811293,102 Dalmatians [2000 live action film],/work/1246933,,"by Kevin Lima (Director), Kristen Buckley (Screenwriter), Bob Tzudiker (Screenwriter), Noni White (Screenwriter)",1,-3.2,1,1
Battlefield Earth [2000 film],Battlefield Earth [2000 film],/work/9286089,Battlefield Earth: A Saga of the Year 3000,/work/3246096,1982,by L. Ron Hubbard,0,-3.28,2,4
Where the Heart Is [2000 film],Where the Heart Is [2000 film],/work/12069263,Where the Heart Is,/work/3136,,by Billie Letts,0,-3.81,8,5
Wonder Boys [2000 film],Wonder Boys [2000 film],/work/3952204,Wonder Boys,/work/6108,1995,by Michael Chabon,0,-3.95,10,2
Shaft [2000 film],Shaft [2000 film],/work/11281,Shaft [1971 film],/work/2000888,,"by Gordon Parks (Director), John D.F. Black (Writer), Ernst Tidyman (Author)",0,-3,1,1
Get Carter [2000 film],Get Carter [2000 film],/work/12234577,Get Carter,/work/212540,,by Ted Lewis,1,-3.8,4,1
Under Suspicion [2000 film],Under Suspicion [2000 film],/work/8218035,Arresto Preventivo [1981 film],/work/12988802,,"by Claude Miller (Director), Michel Audiard (Screenwriter)",0,-3.5,1,1
Left Behind [2000 film],Left Behind [2000 film],/work/3361250,Left Behind: A Novel of the Earth's Last Days,/work/909,,"by Tim LaHaye, Angela Elwell Hunt, Jerry B. Jenkins",1,-3.35,10,4
All the Pretty Horses [2000 film],All the Pretty Horses [2000 film],/work/4220314,All the Pretty Horses,/work/1906740,1992,by Cormac McCarthy,1,-3.95,4,10
The Crimson Rivers [2000 film],The Crimson Rivers [2000 film],/work/6378853,The Crimson Rivers,/work/6997434,1997,by Jean-Christophe Grange,0,-3.8,3,2
Pollock [2000 film],Pollock [2000 film],/work/612495,"Pollock, The life and work of the artist illustrated with 80 colour plates",/work/2377205,1979,by Italo Tomassoni,1,-3.25,1,1
The House of Mirth [2000 film],The House of Mirth [2000 film],/work/8649339,The House of Mirth,/work/11880,1905,by Edith Wharton,0,-4.03,5,10
My Dog Skip [2000 film],My Dog Skip [2000 film],/work/5560630,My Dog Skip,/work/156185,1995,by Willie Morris,0,-3.9,1,1
Waking the Dead [2000 film],Waking the Dead [2000 film],/work/7928245,Waking the Dead,/work/938714,,by Scott Spencer,0,-3.66,1,1
The Weight of Water [2000 film],The Weight of Water [2000 film],/work/17361682,The Weight of Water,/work/4725,1997,by Anita Shreve,0,-3.61,11,4
Animal Factory [2000 film],Animal Factory [2000 film],/work/11051841,Animal Factory,/work/245731,1977,by Edward Bunker,0,-3.75,1,1
The Golden Bowl [2000 film],The Golden Bowl [2000 film],/work/6176605,The Golden Bowl,/work/2245,1904,by Henry James,0,-3.64,4,9
Le Roi Danse,Le Roi Danse,/work/23930849,,,,by Gérard Corbiau,0,,1,1
Happy Times [2000 film],Happy Times [2000 film],/work/1858061,Happy Times (Developmental Reading Series),/work/2660222,,by Guy L. Bond,1,,1,1
The Prince of Central Park [1977 TV Movie],The Prince of Central Park [1977 TV Movie],/work/17044248,,,,,,,,
Fight Club [1999 film],Fight Club [1999 film],/work/417116,Fight Club,/work/6156848,1996,by Chuck Palahniuk,1,-4.08,5,7
The Green Mile [1999 film],The Green Mile [1999 film],/work/753360,The Green Mile,/work/29698,1996,by Stephen King,1,-4.25,21,5
The General's Daughter [1999 film],The General's Daughter [1999 film],/work/4747150,The General's Daughter,/work/81018,1992,"by Nelson DeMille, Robert Ludlum",1,-3.74,4,2
The Talented Mr. Ripley [1999 film],The Talented Mr. Ripley [1999 film],/work/676645,The Talented Mr. Ripley,/work/71377,1955,by Patricia Highsmith,1,-3.92,5,20
The Haunting [1999 film],The Haunting [1999 film],/work/1968356,The Haunting of Hill House,/work/5466,1959,by Shirley Jackson,0,-3.93,19,16
The Virgin Suicides [1999 film],The Virgin Suicides [1999 film],/work/1127476,The Virgin Suicides,/work/5503,1993,by Jeffrey Eugenides,0,-3.79,9,6
Cruel Intentions [1999 film],Cruel Intentions [1999 film],/work/991090,Les Liaisons Dangereuses,/work/32388,1782,by Pierre Choderlos de Laclos,0,-4.11,5,9
The Ninth Gate [1999 film],The Ninth Gate [1999 film],/work/1550953,The Club Dumas,/work/8478,1993,by Arturo Pérez-Reverte,0,-3.71,11,7
The Bone Collector [1999 film],The Bone Collector [1999 film],/work/1053814,The Bone Collector,/work/4595,1997,by Jeffery Deaver,1,-4,6,3
The 13th Warrior [1999 film],The 13th Warrior [1999 film],/work/11338,Eaters of the Dead,/work/6852,1976,by Michael Crichton,0,-3.52,2,1
Tarzan [1999 film],Tarzan [1999 film],/work/13381730,Tarzan of the Apes,/work/4912,1912,by Edgar Rice Burroughs,1,-3.74,15,9
The Iron Giant [1999 film],The Iron Giant [1999 film],/work/2280289,The Iron Man,/work/61256,1968,by Ted Hughes,1,-3.79,1,5
Stuart Little [1999 live-action/animated film],Stuart Little [1999 live-action/animated film],/work/3402719,Stuart Little,/work/6295,1945,by E. B. White,0,-3.81,6,4
The Cider House Rules [1999 film],The Cider House Rules [1999 film],/work/4041090,The Cider House Rules,/work/7863,1985,by John Irving,0,-4.07,11,5
Stir of Echoes [2000 film],Stir of Echoes [2000 film],/work/1568790,,,,,,,,
October Sky [1999 film],October Sky [1999 film],/work/435486,Rocket Boys,/work/38805,1998,"by Homer H. Hickam, Jr.",1,-4.13,12,5
Election [1999 film],Election [1999 film],/work/606801,Election,/work/5755,1998,by Tom Perrotta,0,-3.75,1,2
Payback [1999 film],Payback [1999 film],/work/2815533,The Hunter,/work/221816,1973,by Richard Stark,1,-3.88,1,1
Bicentennial Man [1999 film],Bicentennial Man [1999 film],/work/126664,Bicentennial Man,/work/4105360,,by Isaac Asimov,0,-3.89,1,1
For Love of the Game [1999 film],For Love of the Game [1999 film],/work/2369406,For Love of the Game,/work/4272,1991,by Michael Shaara,0,-3.46,1,1
Bringing Out the Dead [1999 film],Bringing Out the Dead [1999 film],/work/611578,Bringing Out the Dead: A Novel,/work/7438,1998,by Joe Connelly,0,-3.75,16,1
The Thirteenth Floor [1999 film],The Thirteenth Floor [1999 film],/work/2788903,Simulacron-3,/work/253292,1964,by Daniel F. Galouye,0,-3.82,1,1
Drive Me Crazy (1999 Film),Drive Me Crazy (1999 Film),/work/23696702,Drive Me Crazy [1999 film],/work/7960525,1999,"by John Schultz (Director), Rob Thomas (Screenwriter)",0,-4,1,1
The Hurricane [1999 film],The Hurricane [1999 film],/work/2375068,The Hurricane,/work/2602545,1936,"by Charles Bernard Nordhoff, James Norman Hall (Author)",0,-3.83,4,1
Angela's Ashes [1999 film],Angela's Ashes [1999 film],/work/6546978,Angela's Ashes,/work/5115,1996,by Frank McCourt,1,-4,3,19
Message in a Bottle [1999 film],Message in a Bottle [1999 film],/work/8810423,Message in a Bottle,/work/4413,1998,by Nicholas Sparks,0,-3.57,4,1
True Crime [1999 film],True Crime [1999 film],/work/15811881,True Crime,/work/453708,1995,by Andrew Klavan,0,-3.63,9,3
Eye of the Beholder [1999 film],Eye of the Beholder [1999 film],/work/14275902,Eye of the Beholder,/work/39695,,by Jayne Ann Krentz,0,-3.47,2,1
The End of the Affair [1999 film],The End of the Affair [1999 film],/work/2822203,The End of the Affair,/work/7200,1951,by Graham Greene,0,-3.96,5,10
In Dreams [1999 film],In Dreams [1999 film],/work/643604,In Dreams,/work/48710,,"by Paul J. McAuley (Editor), Kim Newman (Editor)",0,-3.33,1,1
Anywhere But Here [1999 film],Anywhere But Here [1999 film],/work/2015358,Anywhere but Here,/work/42338,1986,by Mona Simpson,0,-3.49,6,6
Instinct [1999 film],Instinct [1999 film],/work/609295,The Language Instinct: How the Mind Creates Language,/work/3585,1994,by Steven Pinker,0,-3.98,8,4
The Deep End of the Ocean [1999 film],The Deep End of the Ocean [1999 film],/work/3672920,The Deep End of the Ocean,/work/42505,,by Jacquelyn Mitchard,1,-3.48,8,3
Crazy in Alabama [1999 film],Crazy in Alabama [1999 film],/work/4755784,Crazy in Alabama,/work/36276,1993,by Mark Childress,0,-3.85,1,2
Outside Providence,Outside Providence,/work/80905,,,,by Peter Farrelly,0,-2.88,1,1
Jakob the Liar [1999 film],Jakob the Liar [1999 film],/work/8187500,Jacob the Liar,/work/301236,,by Jurek Becker,0,-3.98,1,5
The Ring Volume 2 (Ring (Graphic Novels)),The Ring Volume 2 (Ring (Graphic Novels)),/work/762139,,,,by Hiroshi Takashi,1,-3.67,1,1
Snow Falling on Cedars [1999 film],Snow Falling on Cedars [1999 film],/work/10245842,Snow Falling on Cedars,/work/5903,1995,by David Guterson,0,-3.75,16,11
An Ideal Husband [1999 film],An Ideal Husband [1999 film],/work/1398597,An Ideal Husband,/work/1617471,1895,by Oscar Wilde,0,-3.94,11,1
Breakfast of Champions,Breakfast of Champions,/work/4335846,,,1973,by Kurt Vonnegut,0,-3.99,39,7
The Love Letter [1999 film],The Love Letter [1999 film],/work/11423,The Love Letter,/work/72485,1995,by Cathleen Schine,0,-3.3,6,1
The King and I [1999 animated film],The King and I [1999 animated film],/work/26986295,The King and I [1956 film],/work/545272,,"by Walter Lang (Director), Oscar Hammerstein II (Play), Margaret Landon (Original novel), Ernest Lehman (Screenwriter), Richard Rodgers (Play) — 1 more, Leon Shamroy (Cinematographer)",0,-4.41,2,1
Histoires d'hiver,Histoires d'hiver,/work/11753230,,,,by Zviane,0,,1,1
Fear and Loathing in Las Vegas [1998 film],Fear and Loathing in Las Vegas [1998 film],/work/6017359,Fear and Loathing in Las Vegas,/work/3366,1971,by Hunter S. Thompson,0,-4.06,4,5
The Thin Red Line [1998 film],The Thin Red Line [1998 film],/work/4092762,The Thin Red Line,/work/8361,1962,by James Jones,1,-3.81,1,4
Modern Vampires [1998 film],Modern Vampires [1998 film],/work/3085998,The Penguin Book of Vampire Stories,/work/2894670,1987,by Alan Ryan,0,-3.97,1,1
Ringu [1998 Japanese film],Ringu [1998 Japanese film],/work/10874694,Ring,/work/38023,1991,by Koji Suzuki,1,-3.65,5,4
What Dreams May Come [1998 film],What Dreams May Come [1998 film],/work/2075506,What Dreams May Come,/work/57532,1978,by Richard Matheson,0,-3.81,5,1
Psycho [1998 film],Psycho [1998 film],/work/11064706,Psycho [1960 film],/work/758836,,"by Alfred Hitchcock (Director), John L. Russell (Cinematographer), Joseph Stefano (Screenwriter)",1,-4.34,4,3
The Man in the Iron Mask [1998 film],The Man in the Iron Mask [1998 film],/work/4219307,The Man in the Iron Mask,/work/74637,1847,by Alexandre Dumas,1,-3.81,10,1
Out of Sight [1998 film],Out of Sight [1998 film],/work/1224207,Out of Sight,/work/37361,1996,by Elmore Leonard,1,-3.66,3,4
Beloved [1998 film],Beloved [1998 film],/work/12551789,Beloved,/work/2182,1987,by Toni Morrison,0,-3.9,11,55
Great Expectations: Original 1998 Motion Picture Soundtrack,Great Expectations: Original 1998 Motion Picture Soundtrack,/work/19188684,Great Expectations,/work/7554,1861,by Charles Dickens,0,-3.89,10,26
A Simple Plan [1998 film],A Simple Plan [1998 film],/work/1138878,A Simple Plan,/work/150141,,by Scott Smith,0,-3.85,3,4
The Legend of 1900 [1998 film],The Legend of 1900 [1998 film],/work/9467002,Novecento: Un Monologo,/work/588453,1994,by Alessandro Baricco,0,-3.91,1,3
Sphere [1998 film],Sphere [1998 film],/work/3482648,Sphere,/work/17543,1987,by Michael Crichton,0,-3.56,7,3
The Object of My Affection [1998 film],The Object of My Affection [1998 film],/work/3002738,The Object of My Affection,/work/71718,1987,by Stephen McCauley,0,-3.71,1,1
Gods and Monsters [1998 film],Gods and Monsters [1998 film],/work/1300118,Father of Frankenstein,/work/420835,,by Christopher Bram,0,-3.94,8,3
The Horse Whisperer [1998 film],The Horse Whisperer [1998 film],/work/2344529,The Horse Whisperer,/work/21631,1995,by Nicholas Evans,0,-3.56,4,5
The Story of Doctor Dolittle,The Story of Doctor Dolittle,/work/6323,,,1920,by Hugh Lofting,1,-3.69,26,2
Quest for Camelot [1998 film],Quest for Camelot [1998 film],/work/545089,The King's Damosel,/work/293362,,by Vera Chapman,1,-3.83,1,1
How Stella Got Her Groove Back,How Stella Got Her Groove Back,/work/45365,,,1996,by Terry McMillan,0,-3.24,2,2
Simon Birch [1998 film],Simon Birch [1998 film],/work/1247024,A Prayer for Owen Meany,/work/7263,1989,by John Irving,0,-4.25,14,18
Primary Colors [1998 film],Primary Colors [1998 film],/work/7889787,Primary Colors,/work/35497,1996,by Joe Klein,0,-3.46,18,4
A Civil Action [1998 film],A Civil Action [1998 film],/work/2812400,A Civil Action,/work/35381,1995,by Jonathan Harr,0,-3.9,7,7
Hideous Kinky [1998 film],Hideous Kinky [1998 film],/work/852580,Hideous Kinky,/work/5308,1992,by Esther Freud,0,-3.46,2,2
One True Thing [1998 film],One True Thing [1998 film],/work/3140018,One True Thing,/work/5789484,1994,by Anna Quindlen,0,-3.87,1,1
Lucky and Zorba,Lucky and Zorba,,,,,,,,,
I Know What You Did Last Summer [1997 film],I Know What You Did Last Summer [1997 film],/work/9867938,I Know What You Did Last Summer,/work/38360,1973,by Lois Duncan,1,-3.33,10,1
Lolita [1997 film],Lolita [1997 film],/work/6381235,Lolita,/work/913,1955,by Vladimir Nabokov,0,-4.09,7,43
L.A. Confidential [1997 film],L.A. Confidential [1997 film],/work/624344,L. A. Confidential,/work/24601,1990,by James Ellroy,1,-4.1,9,7
The Devil's Advocate [1997 film],The Devil's Advocate [1997 film],/work/318162,The Devil's Advocate,/work/74493,1990,by Andrew Neiderman,0,-2.98,1,1
Starship Troopers [1997 film],Starship Troopers [1997 film],/work/11319,Starship Troopers,/work/7802,1959,by Robert A. Heinlein,0,-3.85,3,13
Jackie Brown [1997 film],Jackie Brown [1997 film],/work/8403888,Rum Punch,/work/83266,1992,by Elmore Leonard,0,-3.67,4,1
Contact [1997 film],Contact [1997 film],/work/4041184,Contact,/work/3252172,1985,by Carl Sagan,0,-3.99,1,6
The Lost World: Jurassic Park [1997 film],The Lost World: Jurassic Park [1997 film],/work/1000542,The Lost World,/work/12409,1995,by Michael Crichton,1,-3.5,14,4
The Rainmaker [1997 film],The Rainmaker [1997 film],/work/1926517,The Rainmaker,/work/861142,1995,by John Grisham,0,-3.65,8,3
Kiss the Girls [1997 film],Kiss the Girls [1997 film],/work/4046632,Kiss the Girls,/work/781783,1994,by James Patterson,1,-3.74,14,3
The Relic [1997 film],The Relic [1997 film],/work/12151594,Relic,/work/4684,1995,"by Douglas Preston, Lincoln Child",1,-3.87,34,4
The Postman [1997 film],The Postman [1997 film],/work/2075595,The Postman,/work/19121,,by David Brin,0,-3.73,1,7
Private Parts: The Album (1997 Film),Private Parts: The Album (1997 Film),/work/19208518,Private Parts,/work/2512722,1993,by Howard Stern,0,-3.54,1,4
The Ice Storm [1997 film],The Ice Storm [1997 film],/work/645673,The Ice Storm,/work/2868747,1994,by Rick Moody,0,-3.74,8,1
Absolute Power [1997 film],Absolute Power [1997 film],/work/2915929,Absolute Power,/work/19996,1996,by David Baldacci,0,-3.76,19,4
The Borrowers [1997 film],The Borrowers [1997 film],/work/6039767,The Borrowers,/work/34289,1952,by Mary Norton,1,-3.89,3,7
Affliction,Affliction,/work/53693,,,1989,by Russell Banks,0,-3.94,1,3
The Sweet Hereafter [1997 film],The Sweet Hereafter [1997 film],/work/2406589,The Sweet Hereafter,/work/73707,1991,by Russell Banks,0,-3.99,6,5
Anna Karenina [1997 film],Anna Karenina [1997 film],/work/2527189,Anna Karenina,/work/2340,1877,"by Leo Tolstoy, George Gibian (Editor)",0,-4.15,39,32
Smilla's Sense of Snow [1997 film],Smilla's Sense of Snow [1997 film],/work/10184727,Smilla's Sense of Snow,/work/2856,1992,by Peter Høeg,0,-3.74,1,13
A Thousand Acres [1997 film],A Thousand Acres [1997 film],/work/611347,A Thousand Acres,/work/2310,,by Jane Smiley,0,-3.71,8,13
Oscar and Lucinda [1997 film],Oscar and Lucinda [1997 film],/work/4445968,Oscar and Lucinda,/work/27097,1988,by Peter Carey,0,-3.77,55,13
Critical Care [1997 film],Critical Care [1997 film],/work/16966687,Critical Care,/work/1085634,,,0,,1,1
Character [1997 film],Character [1997 film],/work/10160931,Character,/work/113265,,by F. Bordewijk,0,-3.92,1,1
A Time to Kill [1996 film],A Time to Kill [1996 film],/work/1131925,A Time to Kill,/work/861081,1989,by John Grisham,1,-3.83,11,4
Romeo + Juliet [1996 film],Romeo + Juliet [1996 film],/work/644095,Romeo and Juliet,/work/2225,1597,by William Shakespeare,0,-3.72,17,11
The Island of Dr. Moreau [1996 film],The Island of Dr. Moreau [1996 film],/work/1146288,The Island of Dr. Moreau,/work/3968,1896,by H. G. Wells,0,-3.63,7,9
Matilda [1996 film],Matilda [1996 film],/work/2507543,Matilda,/work/1495,1988,by Roald Dahl,0,-4.26,9,25
